State,PerCapitaIncome2000,PerCapitaIncome2010
Alabama,24067,33516
Alaska,30508,44205
Arizona,26293,34553
Arkansas,22574,32678
California,33404,42578
Colorado,33986,42226
Connecticut,41920,54877
Delaware,31009,39664
District of Columbia,40462,70044
Florida,29079,38222
Georgia,28541,34800
Hawaii,29024,41661
Idaho,24685,31986
Illinois,32645,42057
Indiana,27459,34042
Iowa,27285,38084
Kansas,28468,39005
Kentucky,24785,32376
Louisiana,23554,37021
Maine,26699,36717
Maryland,34678,49070
Massachusetts,38222,51302
Michigan,29400,34691
Minnesota,32599,42847
Mississippi,21555,31046
Missouri,27885,36965
Montana,23457,35068
Nebraska,28590,39674
Nevada,30977,36919
New Hampshire,34102,43586
New Jersey,38667,51167
New Mexico,22746,33368
New York,34623,48450
North Carolina,27906,34977
North Dakota,25592,42764
Ohio,28695,36180
Oklahoma,24602,35396
Oregon,28728,36427
Pennsylvania,30113,40599
Rhode Island,29498,42095
South Carolina,25076,32460
South Dakota,26421,39593
Tennessee,26689,34955
Texas,28506,37706
Utah,24515,32473
Vermont,28196,40098
Virginia,31634,44246
Washington,32410,42570
West Virginia,22173,31999
Wisconsin,29141,38177
Wyoming,29261,44861
